"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2019729402604","66.1816820298441","66.0651196565248","65.9819753895163","65.8290822338893","65.6185188839226","65.5606016704811","65.5245806643542","65.4554249264158","65.7407966389783","65.9381120203288","66.1543063270764","66.11789654542","65.8605237155458","65.8785185213316","65.2719489431119","64.7638984526774","64.1439212361067","63.8632512411669","63.5463829647653","62.9211626497517","62.1935298748068","61.8557563562778","61.24801652786","60.7397332378134","60.3779655033125","59.9511998403453","59.5278740270498","59.1999714572089","",
"Afghanistan","AFG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.4300003051758","63.6500015258789","64.4100036621094","64.4400024414063","64.3000030517578","64.6800003051758","64.9800033569336","65.1999969482422","65.4599990844727","65.8399963378906","66.2900009155273","64.4199981689453","63.7000007629395","63.2700004577637","62.1500015258789","61.2799987792969","60.1399993896484","59.2900009155273","56.8899993896484","54.5800018310547","53.560001373291","51.4000015258789","49.8199996948242","48.4099998474121","47.0699996948242","45.810001373291","43.9900016784668","43.1300010681152","42.5","",
"Africa Western and Central","AFW","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1268076549745","59.0308637058129","58.9745389839004","58.8416800648578","58.6495077317854","58.3583207710749","58.0291685577293","57.6762389423567","57.3553366867084","56.9730319534738","56.4353207005913","55.7044119934066","55.0792943431423","54.3808223819063","53.7363358401321","53.1013990494552","52.3277239104681","51.4562972547251","50.5778954558475","49.6038218433823","48.6613308074859","47.5577468649186","46.4920801039617","45.1964559948358","44.051159888329","43.7222580573559","42.9926028445034","42.3217857861947","41.658942362487","",
"Angola","AGO","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8300018310547","39.9000015258789","40.2099990844727","40.0900001525879","39.560001373291","38.9799995422363","38.5400009155273","38.1599998474121","37.8600006103516","37.5","37.2200012207031","36.560001373291","36.4500007629395","36.1699981689453","38.1100006103516","40.2099990844727","42.2099990844727","44.3699989318848","46.5099983215332","48.8800010681152","51.2200012207031","51.2299995422363","51.1800003051758","51.1399993896484","51.1599998474121","51.1500015258789","50.9900016784668","50.9099998474121","50.7299995422363","",
"Albania","ALB","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.9099998474121","58.1100006103516","57.6199989318848","57.0800018310547","56.3600006103516","55.939998626709","56.060001373291","55.25","54.0299987792969","52.8199996948242","51.310001373291","50.1599998474121","49.2700004577637","48.3400001525879","47.3800010681152","46.2999992370605","45.5499992370605","44.6599998474121","44.0499992370605","42.0800018310547","45.3899993896484","46","44.2000007629395","42.2599983215332","41.2799987792969","40.0400009155273","38.0800018310547","37.2900009155273","36.4199981689453","",
"Andorra","AND","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.82899663748","35.1949335616381","34.329207611537","34.0688465911431","33.1281352179439","32.5046589576593","31.8931896730593","31.1761110868863","30.578100217119","30.756019342399","29.9441317412789","29.1210510972138","29.1356075050393","29.1275899634038","28.1533105368328","27.3231977360301","26.6905080276284","25.8104948838315","24.6549960736081","23.489749044135","23.0986045299443","22.298372190103","22.1346053317115","21.9028471357076","21.239435838018","20.7744216069218","20.2605867563825","19.1755268821033","18.6736165603334","",
"United Arab Emirates","ARE","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46000003814697","8.36999988555908","8.23999977111816","8.13000011444092","8","7.98999977111816","7.96000003814697","7.92000007629395","7.92000007629395","7.90000009536743","7.25","6.67000007629395","6.1100001335144","5.63000011444092","5.19000005722046","4.78000020980835","4.3899998664856","4.03999996185303","3.6800000667572","3.38000011444092","3.07999992370605","2.78999996185303","2.50999999046326","2.25","2.00999999046326","1.80999994277954","1.62000000476837","1.46000003814697","1.38999998569489","",
"Argentina","ARG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.340000003576279","0.400000005960464","0.449999988079071","0.449999988079071","0.620000004768372","0.759999990463257","0.800000011920929","0.759999990463257","0.740000009536743","0.670000016689301","0.829999983310699","0.980000019073486","1.39999997615814","1.5","1.27999997138977","1.04999995231628","1.12000000476837","1.20000004768372","1.23000001907349","1.26999998092651","0.639999985694885","0.620000004768372","0.620000004768372","0.550000011920929","0.259999990463257","0.129999995231628","0.0599999986588955","0.100000001490116","0.0599999986588955","",
